Place,Latitude,Longitude,Pop. Density (/km²),Air Index (AQI),Transport Access (1-10),Green Space (m²/person),Socio-Eco Status (1-10),Industries Present (Y/N),Land Use (%) Commercial,Industries Present,Cluster,ZoneNumber,Zone
Whitefield,12.9698,77.7499,10,500,145,7,4.5,6,Y,40,1,1,Yellow Zone
Electronic City,12.8452,77.66,8,200,110,6,3.0,5,Y,45,1,1,Yellow Zone
MG Road,12.9758,77.6055,15,0,160,9,2.0,8,N,60,0,2,Green Zone
Rajajinagar,12.9916,77.5552,13,500,155,8,2.5,6,N,50,0,1,Yellow Zone
Koramangala,12.9352,77.6245,12,0,135,9,3.5,9,N,55,0,2,Green Zone
Hebbal,13.035,77.5913,9,500,120,7,6.5,7,Y,35,1,0,Red Zone
Yelahanka,13.1007,77.5961,6,800,105,5,7.0,5,Y,30,1,0,Red Zone
Marathahalli,12.9569,77.7011,11,0,140,8,2.8,7,Y,45,1,1,Yellow Zone
Jayanagar,12.925,77.5938,10,200,125,8,4.0,8,N,40,0,2,Green Zone
Indiranagar,12.9716,77.6408,13,0,150,9,3.5,9,N,55,0,2,Green Zone
Banashankari,12.9182,77.5735,7,500,100,6,6.0,7,N,30,0,0,Red Zone
Malleshwaram,13.0033,77.5692,9,0,115,7,5.0,8,N,35,0,2,Green Zone
HSR Layout,12.9121,77.6387,11,200,145,8,3.8,8,N,45,0,2,Green Zone
BTM Layout,12.9166,77.6101,10,800,140,7,4.0,7,N,40,0,2,Green Zone
KR Puram,13.0098,77.6842,8,900,135,6,3.2,6,Y,40,1,1,Yellow Zone
Basavanagudi,12.941,77.5734,9,800,120,7,5.0,8,N,35,0,2,Green Zone
Nagarbhavi,12.9738,77.5026,7,200,110,5,6.2,6,N,30,0,0,Red Zone
Vijayanagar,12.9757,77.544,9,600,130,6,4.5,7,N,35,0,2,Green Zone
Peenya,13.0398,77.5164,7,0,170,4,2.0,4,Y,50,1,1,Yellow Zone
HBR Layout,13.0282,77.6344,9,300,125,7,4.2,7,N,35,0,2,Green Zone
Kengeri,12.9175,77.4865,6,500,100,6,6.0,6,Y,30,1,0,Red Zone
Hennur,13.0427,77.652,8,0,115,6,5.5,7,N,35,0,0,Red Zone
RT Nagar,13.0205,77.5944,9,800,130,7,4.5,7,N,40,0,2,Green Zone
Bellandur,12.9304,77.6784,12,200,160,8,3.0,8,Y,50,1,1,Yellow Zone
Jakkur,13.0805,77.6,7,200,105,5,7.0,6,Y,25,1,0,Red Zone
Sarjapur Road,12.8963,77.6875,11,500,145,8,3.8,7,Y,45,1,1,Yellow Zone
Domlur,12.9611,77.6413,10,400,135,9,3.6,8,N,50,0,2,Green Zone
Ulsoor,12.9844,77.6224,11,800,140,9,3.2,7,N,55,0,2,Green Zone
Bagalakunte,13.0491,77.4936,6,800,110,4,6.5,5,Y,25,1,0,Red Zone
Kanakapura Road,12.8771,77.5645,7,500,100,6,6.8,6,N,30,0,0,Red Zone
HSR Layout,12.9116,77.6389,10,500,125,9,4.0,8,N,50,0,2,Green Zone
Banashankari,12.9241,77.5464,9,700,115,7,5.0,7,N,35,0,2,Green Zone
Hebbal,13.0352,77.5911,10,800,130,8,3.5,6,Y,45,1,1,Yellow Zone
Kaggadasapura,12.9798,77.6842,11,300,140,6,3.3,7,N,50,0,2,Green Zone
Nagarbhavi,12.9685,77.512,8,900,110,5,5.7,6,Y,30,1,0,Red Zone
JP Nagar,12.8986,77.585,9,600,120,7,5.2,7,N,35,0,2,Green Zone
Rajajinagar,12.9915,77.5549,10,200,125,8,4.0,7,Y,40,1,2,Green Zone
Whitefield,12.9698,77.7499,11,700,155,9,3.1,8,Y,60,1,1,Yellow Zone
KR Puram,13.0162,77.6954,12,0,160,6,3.0,6,Y,55,1,1,Yellow Zone
BTM Layout,12.9166,77.6101,10,800,130,8,3.8,7,N,45,0,2,Green Zone
Jalahalli,13.0524,77.5295,8,300,100,6,7.0,6,Y,25,1,0,Red Zone
Yelahanka,13.1007,77.596,7,900,95,7,8.5,6,N,20,0,0,Red Zone
Bommanahalli,12.8932,77.6101,11,400,145,6,2.5,5,Y,55,1,1,Yellow Zone
Hennur,13.0418,77.6407,9,800,120,7,4.2,7,N,40,0,2,Green Zone
Banaswadi,13.0197,77.6474,10,200,125,8,3.6,6,N,40,0,2,Green Zone
Sanjaynagar,13.0361,77.5773,9,500,110,6,5.0,7,N,30,0,0,Red Zone
RT Nagar,13.0223,77.6015,10,0,120,7,4.1,6,N,35,0,2,Green Zone
Vidyaranyapura,13.088,77.5545,8,200,100,5,6.8,6,N,20,0,0,Red Zone
Peenya,13.0289,77.5151,12,500,170,5,2.0,5,Y,60,1,1,Yellow Zone
Mahadevapura,12.9916,77.6955,11,600,150,7,3.3,7,Y,55,1,1,Yellow Zone
Kengeri,12.9133,77.4801,8,800,105,6,6.0,6,N,25,0,0,Red Zone
Ullal,12.9389,77.5022,8,500,110,5,6.5,6,N,30,0,0,Red Zone
Basaveshwaranagar,12.9891,77.5391,9,400,115,7,4.8,7,N,35,0,2,Green Zone
Kalyan Nagar,13.0285,77.6396,10,100,125,8,4.0,7,N,40,0,2,Green Zone
Frazer Town,12.9982,77.6229,11,200,140,8,3.2,7,N,50,0,2,Green Zone
Nayandahalli,12.9425,77.5258,10,500,130,6,3.7,6,Y,45,1,1,Yellow Zone
Sarjapur Road,12.9122,77.6936,11,800,155,7,3.1,8,Y,60,1,1,Yellow Zone
Magadi Road,12.9787,77.526,9,700,120,6,4.3,6,Y,40,1,1,Yellow Zone
Domlur,12.9555,77.6412,10,600,135,9,3.5,7,N,45,0,2,Green Zone
Malleshwaram,13.0068,77.568,9,800,120,8,5.5,8,N,35,0,2,Green Zone
Thanisandra,13.0645,77.6315,10,100,130,7,3.5,6,N,40,0,2,Green Zone
Rajarajeshwari Nagar,12.9246,77.5085,8,900,110,6,5.8,7,N,25,0,0,Red Zone
Bilekahalli,12.9066,77.6101,11,500,140,7,2.7,6,Y,50,1,1,Yellow Zone
CV Raman Nagar,12.9875,77.6636,10,600,135,8,3.6,7,N,45,0,2,Green Zone
Hosa Road,12.8702,77.6486,11,0,145,6,3.0,6,Y,55,1,1,Yellow Zone
Hoodi,12.9944,77.7162,10,900,138,7,3.2,6,Y,50,1,1,Yellow Zone
Hebbal,13.0358,77.5896,9,800,120,8,4.5,7,N,35,0,2,Green Zone
Brookefield,12.9658,77.7125,10,300,130,8,4.2,8,N,40,0,2,Green Zone
Ulsoor,12.9843,77.6195,11,100,140,9,3.4,8,N,50,0,2,Green Zone
Banashankari,12.922,77.5467,9,300,115,6,5.0,7,N,30,0,0,Red Zone
BEML Layout,12.9673,77.7015,9,700,120,6,4.8,7,N,35,0,0,Red Zone
Singasandra,12.8723,77.6471,10,900,140,6,2.9,6,Y,55,1,1,Yellow Zone
Bellandur Gate,12.9061,77.6785,11,600,150,7,2.5,7,Y,60,1,1,Yellow Zone
Yeshwanthpur,13.0183,77.5565,10,700,135,8,3.6,6,Y,50,1,1,Yellow Zone
Bommasandra,12.7889,77.7051,9,800,145,5,3.3,5,Y,60,1,1,Yellow Zone
Jayanagar,12.925,77.5938,9,400,115,7,5.2,8,N,30,0,2,Green Zone
Arekere,12.8866,77.6036,10,200,125,6,3.8,7,N,40,0,2,Green Zone
Whitefield Road,12.9696,77.7486,11,500,150,7,3.0,7,Y,55,1,1,Yellow Zone
Nagarbhavi,12.9617,77.5135,9,200,110,6,5.6,6,N,25,0,0,Red Zone
Subramanyapura,12.8913,77.5465,9,0,115,5,6.0,6,N,25,0,0,Red Zone
