
Place	Latitude	Longitude	Pop. Density (/km²)	Air Index (AQI)	Transport Access (1-10)	Green Space (m²/person)	Socio-Eco Status (1-10)	Industries Present (Y/N)	Land Use (%) Commercial
Whitefield	12.9698	77.7499	10,500	145	7	4.5	6	Y	40
Electronic City	12.8452	77.6600	8,200	110	6	3.0	5	Y	45
MG Road	12.9758	77.6055	15,000	160	9	2.0	8	N	60
Rajajinagar	12.9916	77.5552	13,500	155	8	2.5	6	N	50
Koramangala	12.9352	77.6245	12,000	135	9	3.5	9	N	55
Hebbal	13.0350	77.5913	9,500	120	7	6.5	7	Y	35
Yelahanka	13.1007	77.5961	6,800	105	5	7.0	5	Y	30
Marathahalli	12.9569	77.7011	11,000	140	8	2.8	7	Y	45
Jayanagar	12.9250	77.5938	10,200	125	8	4.0	8	N	40
Indiranagar	12.9716	77.6408	13,000	150	9	3.5	9	N	55
Banashankari	12.9182	77.5735	7,500	100	6	6.0	7	N	30
Malleshwaram	13.0033	77.5692	9,000	115	7	5.0	8	N	35
HSR Layout	12.9121	77.6387	11,200	145	8	3.8	8	N	45
BTM Layout	12.9166	77.6101	10,800	140	7	4.0	7	N	40
KR Puram	13.0098	77.6842	8,900	135	6	3.2	6	Y	40
Basavanagudi	12.9410	77.5734	9,800	120	7	5.0	8	N	35
Nagarbhavi	12.9738	77.5026	7,200	110	5	6.2	6	N	30
Vijayanagar	12.9757	77.5440	9,600	130	6	4.5	7	N	35
Peenya	13.0398	77.5164	7,000	170	4	2.0	4	Y	50
HBR Layout	13.0282	77.6344	9,300	125	7	4.2	7	N	35
Kengeri	12.9175	77.4865	6,500	100	6	6.0	6	Y	30
Hennur	13.0427	77.6520	8,000	115	6	5.5	7	N	35
RT Nagar	13.0205	77.5944	9,800	130	7	4.5	7	N	40
Bellandur	12.9304	77.6784	12,200	160	8	3.0	8	Y	50
Jakkur	13.0805	77.6000	7,200	105	5	7.0	6	Y	25
Sarjapur Road	12.8963	77.6875	11,500	145	8	3.8	7	Y	45
Domlur	12.9611	77.6413	10,400	135	9	3.6	8	N	50
Ulsoor	12.9844	77.6224	11,800	140	9	3.2	7	N	55
Bagalakunte	13.0491	77.4936	6,800	110	4	6.5	5	Y	25
Kanakapura Road	12.8771	77.5645	7,500	100	6	6.8	6	N	30f
HSR Layout	12.9116	77.6389	10,500	125	9	4.0	8	N	50
Banashankari	12.9241	77.5464	9,700	115	7	5.0	7	N	35
Hebbal	13.0352	77.5911	10,800	130	8	3.5	6	Y	45
Kaggadasapura	12.9798	77.6842	11,300	140	6	3.3	7	N	50
Nagarbhavi	12.9685	77.5120	8,900	110	5	5.7	6	Y	30
JP Nagar	12.8986	77.5850	9,600	120	7	5.2	7	N	35
Rajajinagar	12.9915	77.5549	10,200	125	8	4.0	7	Y	40
Whitefield	12.9698	77.7499	11,700	155	9	3.1	8	Y	60
